point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (CO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
RENNES-ST-JACQUES,48.07,-1.72972,BASTIA-PORETTA,42.54972,9.48,115.0,1069.612,,128.35
CASTRES-MAZAMET,43.54972,2.29,BASTIA-PORETTA,42.54972,9.48,95.0,595.176,,71.42
METZ-NANCY-LORRAINE,48.97972,6.25,BASTIA-PORETTA,42.54972,9.48,100.0,758.258,,90.99
BREST-BRETAGNE,48.45,-4.41972,BASTIA-PORETTA,42.54972,9.48,135.0,1265.04,,151.8
BORDEAUX-MERIGNAC,44.82972,-0.71972,BASTIA-PORETTA,42.54972,9.48,90.0,858.647,,103.04
NANTES-ATLANTIQUE,47.15972,-1.61,BASTIA-PORETTA,42.54972,9.48,107.5,1013.105,,121.57
CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE,45.78972,3.16,FIGARI-SUD-CORSE,41.5,9.09972,80.0,675.612,,81.07
METZ-NANCY-LORRAINE,48.97972,6.25,FIGARI-SUD-CORSE,41.5,9.09972,92.5,861.892,,103.43
BORDEAUX-MERIGNAC,44.82972,-0.71972,FIGARI-SUD-CORSE,41.5,9.09972,100.0,878.436,,105.41
LILLE-LESQUIN,50.56,3.08972,FIGARI-SUD-CORSE,41.5,9.09972,120.0,1109.451,,133.13
STRASBOURG-ENTZHEIM,48.53972,7.62972,FIGARI-SUD-CORSE,41.5,9.09972,102.5,792.089,,95.05
CAEN-CARPIQUET,49.17,-0.45,FIGARI-SUD-CORSE,41.5,9.09972,110.0,1132.852,,135.94
RENNES-ST-JACQUES,48.07,-1.72972,FIGARI-SUD-CORSE,41.5,9.09972,115.0,1123.695,,134.84
NANTES-ATLANTIQUE,47.15972,-1.61,FIGARI-SUD-CORSE,41.5,9.09972,112.5,1058.712,,127.05
QUIMPER-PLUGUFFAN,47.97972,-4.16972,FIGARI-SUD-CORSE,41.5,9.09972,130.0,1270.451,,152.45
LYON-SAINT-EXUPERY,45.72972,5.08,FIGARI-SUD-CORSE,41.5,9.09972,72.5,571.352,,68.56
TOULOUSE-BLAGNAC,43.63,1.37,CALVI-ST-CATHERINE,42.52,8.78972,82.5,615.614,,73.87
