point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Vitrolles-Aér-Marseille,43.44249,5.23712,Gare de Miramas,43.58074,4.9996,15.7,24.587,730.2,1.97
Gare de Nancy-Ville,48.68978,6.17427,Gare de Jarville-la-Malgrange,48.66995,6.20221,5.64,3.015,89.5,0.24
Gare de Strasbourg,48.58517,7.73397,Gare de Brumath,48.73303,7.70043,11.18,16.643,494.3,1.33
Gare de Amiens,49.89053,2.3081,Gare de Longueau,49.86344,2.35223,5.92,4.372,129.8,0.35
Gare de Creil,49.26377,2.46918,Gare de Chantilly-Gouvieux,49.18698,2.45983,6.66,8.575,254.7,0.69
Gare de Chantilly-Gouvieux,49.18698,2.45983,Gare de Orry-la-Ville-Coye,49.13871,2.48959,4.79,5.794,172.1,0.46
Gare de Orry-la-Ville-Coye,49.13871,2.48959,Gare de Paris Gare du Nord,48.88014,2.35489,18.59,30.417,903.4,2.43
Gare de Versailles-Chantiers,48.79557,2.13546,Gare de Paris-Montparnasse 1-2,48.84063,2.31989,13.3,14.419,428.2,1.15
Gare de Menton,43.7744,7.49317,Gare de Carnolès,43.76199,7.48144,2.33,1.673,49.7,0.13
Gare de Rombas-Clouange,49.25604,6.09925,Gare de Moyeuvre-Grande,49.24701,6.0432,6.15,4.195,124.6,0.34
Gare de Moyeuvre-Grande,49.24701,6.0432,Gare de Joeuf,49.22508,6.01791,6.19,3.056,90.8,0.24
Gare de Joeuf,49.22508,6.01791,Gare de Homécourt,49.21836,5.99952,4.48,1.532,45.5,0.12
Gare de Sens,48.19804,3.26733,Gare de Pont-sur-Yonne,48.2867,3.20175,7.7,11.002,326.8,0.88
Gare de Pont-sur-Yonne,48.2867,3.20175,Gare de Champigny-sur-Yonne,48.32414,3.13086,5.26,6.702,199.0,0.54
Gare de Champigny-sur-Yonne,48.32414,3.13086,Gare de Villeneuve-la-Guyard,48.3429,3.07178,4.19,4.845,143.9,0.39
Gare de Sées,48.60016,0.16611,Gare de Surdon,48.6649,0.13413,6.23,7.581,225.2,0.61
Gare de Argentan,48.73846,-0.02572,Gare de St-Pierre-sur-Dives,49.02264,-0.04151,19.4,31.655,940.2,2.53
Gare de St-Pierre-sur-Dives,49.02264,-0.04151,Gare de Mézidon-Canon,49.07087,-0.07497,5.04,5.898,175.2,0.47
Gare de Chenonceaux,47.33065,1.06539,Gare de Bléré-la-Croix,47.33772,0.98774,4.57,5.911,175.6,0.47
Gare de Mantes-la-Jolie,48.98969,1.70329,Gare de Paris-St-Lazare,48.87787,2.32443,39.03,47.097,1398.8,3.77
Gare de Le Buisson,44.84723,0.90818,Gare de Siorac-en-Périgord,44.81979,0.98423,6.33,6.736,200.1,0.54
Gare de Pierrelatte,44.37457,4.70376,Gare de Montélimar,44.559,4.74479,11.88,20.787,617.4,1.66
Gare de Montélimar,44.559,4.74479,Gare de Valence-Ville,44.92807,4.89329,21.83,42.729,1269.1,3.42
Gare de Lyon-Perrache,45.74879,4.82594,Gare de Lyon-Vaise,45.78014,4.80405,5.0,3.882,115.3,0.31
Gare de Varilhes,43.04149,1.62858,Gare de Pamiers,43.11618,1.619,6.94,8.351,248.0,0.67
Gare de Pamiers,43.11618,1.619,Gare de Vernet-d'Ariège,43.18949,1.6117,6.23,8.182,243.0,0.65
Gare de Vernet-d'Ariège,43.18949,1.6117,Gare de Saverdun,43.23942,1.57042,5.97,6.489,192.7,0.52
Gare de Saverdun,43.23942,1.57042,Gare de Cintegabelle,43.30535,1.52109,6.6,8.358,248.2,0.67
Gare de Cintegabelle,43.30535,1.52109,Gare de Auterive,43.34883,1.46862,4.93,6.44,191.3,0.52
Gare de Sète,43.41281,3.6964,Gare de Agde,43.31757,3.46602,12.57,21.447,637.0,1.72
Gare de Agde,43.31757,3.46602,Gare de Béziers,43.33623,3.21922,11.23,20.093,596.8,1.61
Gare de Cerbère,42.44276,3.16552,Gare de Banyuls-sur-Mer,42.48262,3.12441,7.2,5.575,165.6,0.45
Gare de Banyuls-sur-Mer,42.48262,3.12441,Gare de Port-Vendres,42.51338,3.10239,5.47,3.872,115.0,0.31
Gare de Port-Vendres,42.51338,3.10239,Gare de Collioure,42.52689,3.07872,3.13,2.456,72.9,0.2
Gare de Collioure,42.52689,3.07872,Gare de Argelès-sur-Mer,42.54395,3.0215,5.53,5.063,150.4,0.41
Gare de Argelès-sur-Mer,42.54395,3.0215,Gare de Elne,42.59737,2.96352,7.6,7.613,226.1,0.61
Gare de Elne,42.59737,2.96352,Gare de Perpignan,42.69607,2.87962,10.7,12.958,384.9,1.04
Buzançais,46.88486,1.41841,St-Genou-ZI,46.9052,1.35436,5.52,5.373,159.6,0.43
Gare de Narbonne,43.19103,3.00596,Gare de Béziers,43.33623,3.21922,13.93,23.666,702.9,1.89
Loches-St-Jacques,47.13755,0.99982,Chambourg-Chopin,47.18221,0.96805,7.71,5.522,164.0,0.44
Ste-Marie-/-Mines-Maire,48.24557,7.18224,Ste-Marie-/-Ms-Pl-.CdG,48.24363,7.17639,1.0,0.484,14.4,0.04
Gare de Arles,43.68484,4.63202,Gare de Avignon-Centre,43.94188,4.80526,18.0,31.817,945.0,2.55
Gare de Nancy-Ville,48.68978,6.17427,Gare de Pont-à-Mousson,48.90028,6.0508,20.76,25.121,746.1,2.01
Gare de Rémilly,49.01407,6.39503,Gare de Metz-Ville,49.10979,6.1772,14.48,19.131,568.2,1.53
Gare de Ancenis,47.36946,-1.17761,Gare de Angers-St-Laud,47.46443,-0.55695,23.21,47.931,1423.6,3.83
Gare de Valence-TGV,44.99137,4.97894,Gare de Romans-Bourg-de-Péage,45.04886,5.04949,7.52,8.472,251.6,0.68
Gare de St-Germain-des-Fossés,46.2091,3.43049,Gare de Vichy,46.12697,3.43049,12.24,9.142,271.5,0.73
Gare de Culmont-Chalindrey,47.81023,5.44322,Gare de Langres,47.87725,5.34468,8.04,10.481,311.3,0.84
Gare de Langres,47.87725,5.34468,Gare de Chaumont,48.10945,5.13445,22.77,30.222,897.6,2.42
Gare de Pierrelatte,44.37457,4.70376,Gare de Donzère,44.44263,4.70513,5.04,7.577,225.0,0.61
Gare de Donzère,44.44263,4.70513,Gare de Montélimar,44.559,4.74479,8.12,13.331,395.9,1.07
Gare de Montélimar,44.559,4.74479,Gare de Loriol,44.75449,4.81724,12.12,22.505,668.4,1.8
Gare de Loriol,44.75449,4.81724,Gare de Livron,44.7796,4.83057,2.96,2.987,88.7,0.24
Gare de Lamotte-Beuvron,47.59397,2.02259,Gare de La Ferté-St-Aubin,47.72097,1.93234,8.43,15.673,465.5,1.25
Gare de La Ferté-St-Aubin,47.72097,1.93234,Gare de St-Cyr-en-Val-La-Source,47.8192,1.94757,6.6,10.994,326.5,0.88
Gare de St-Cyr-en-Val-La-Source,47.8192,1.94757,Gare de Orléans,47.90815,1.90475,9.66,10.405,309.0,0.83
Gare de Lison,49.22705,-1.05028,Gare de Bayeux,49.26944,-0.69771,14.25,26.051,773.7,2.08
Gare de Bayeux,49.26944,-0.69771,Gare de Caen,49.17654,-0.34827,16.79,27.429,814.6,2.19
Gare de Jarnac-Charente,45.67129,-0.17792,Gare de Cognac,45.68445,-0.32616,12.93,11.622,345.2,0.93
Gare de Cognac,45.68445,-0.32616,Gare de Saintes,45.74784,-0.61758,31.62,23.724,704.6,1.9
Gare de Arvant,45.36538,3.31049,Gare de Brassac-les-Mines,45.4141,3.32993,5.92,5.632,167.3,0.45
Gare de Epernon,48.60515,1.68142,Gare de Maintenon,48.58536,1.59245,5.64,6.911,205.3,0.55
Gare de Narbonne,43.19103,3.00596,Gare de Lézignan-Corbières,43.19997,2.76986,14.42,19.186,569.8,1.53
Gare de Lézignan-Corbières,43.19997,2.76986,Gare de Carcassonne,43.21771,2.35188,20.88,33.97,1008.9,2.72
Gare de St-Seurin-sur-l'Isle,45.01146,-0.0019,Gare de Montpon-Ménestérol,45.00628,0.15934,7.56,12.703,377.3,1.02
Moyen,48.48343,6.56643,Gerbéviller (Rue Gambet,48.50022,6.51238,5.04,4.404,130.8,0.35
Chatillon-Mail,46.98838,1.1718,Flere-La-Rivière-Mairie,47.02083,1.10722,5.76,6.089,180.8,0.49
Flere-La-Rivière-Mairie,47.02083,1.10722,Bridoré-Carrefour-943,47.03305,1.09555,2.06,1.623,48.2,0.13
Bridoré-Carrefour-943,47.03305,1.09555,Bridore-St-Martin,47.05963,1.08385,2.94,3.089,91.7,0.25
Châteauroux Gare Rout.,46.80965,1.69869,Châteauroux-Préfecture,46.81074,1.68683,3.0,0.912,27.1,0.07
Châteauroux-Préfecture,46.81074,1.68683,Châteauroux-Crx-Perrine,46.81716,1.6832,2.0,0.766,22.8,0.06
Villedieu-8-mai-1945,46.84746,1.53881,Buzançais,46.88486,1.41841,13.38,10.065,298.9,0.81
Gare de Condat-le-Lardin,45.12672,1.22665,Gare de Terrasson,45.13568,1.30051,5.79,5.886,174.8,0.47
Gare de Tarascon-sur-Rhône,43.80112,4.65724,Gare de Avignon-Centre,43.94188,4.80526,13.43,19.662,584.0,1.57
Gare de Gresswiller,48.533,7.42466,Gare de Heiligenberg-Mollkirch,48.52749,7.3815,3.42,3.24,96.2,0.26
Gare de Calais Ville,50.95346,1.85075,Gare de Les Fontinettes,50.94097,1.84985,4.42,1.392,41.3,0.11
Gare de Rives,45.3576,5.4919,Gare de Le Grand-Lemps,45.39668,5.42306,11.62,6.921,205.6,0.55
Gare de Le Grand-Lemps,45.39668,5.42306,Gare de Chabons,45.4384,5.4281,7.0,4.661,138.4,0.37
Gare de Chabons,45.4384,5.4281,Gare de Virieu-sur-Bourbre,45.48477,5.47545,9.12,6.349,188.6,0.51
Gare de Revigny,48.8242,4.98555,Gare de Bar-le-Duc,48.77363,5.16702,12.36,14.448,429.1,1.16
Gare de Jarville-la-Malgrange,48.66995,6.20221,Gare de Laneuveville-devt-Nancy,48.65565,6.22802,2.38,2.477,73.6,0.2
Gare de Laneuveville-devt-Nancy,48.65565,6.22802,Gare de Varangéville-St-Nicolas,48.63515,6.31337,4.95,6.679,198.4,0.53
Gare de St-Clément-Laronxe,48.53116,6.6086,Gare de Lunéville,48.58799,6.49703,8.79,10.372,308.0,0.83
Gare de St-Dié-des-Vosges,48.28224,6.94806,Gare de Etival-Clairefontaine,48.36703,6.8771,8.89,10.801,320.8,0.86
Gare de Valence-Ville,44.92807,4.89329,Gare de Valence-TGV,44.99137,4.97894,8.23,9.755,289.7,0.78
Gare de Dachstein,48.54292,7.53321,Gare de Molsheim,48.53752,7.50021,3.57,2.505,74.4,0.2
Gare de Hagondange,49.25381,6.1644,Gare de Metz-Ville,49.10979,6.1772,15.59,16.059,477.0,1.28
Gare de Granville,48.83884,-1.58678,Gare de Villedieu (Gare),48.83415,-1.22545,18.61,26.48,786.5,2.12
Gare de Surdon,48.6649,0.13413,Gare de L'Aigle,48.76668,0.62073,22.03,37.492,1113.5,3.0
Gare de St-Amand-les-Eaux,50.44323,3.41936,Gare de Orchies,50.47705,3.24888,8.0,12.654,375.8,1.01
Gare de Voreppe,45.29038,5.63212,Gare de Moirans,45.32215,5.58196,5.29,5.285,157.0,0.42
Gare de Moirans,45.32215,5.58196,Gare de Voiron,45.364,5.59491,6.79,4.768,141.6,0.38
Gare de Bellegarde-s-V. Gare,46.1097,5.82365,Gare de Genève,46.21056,6.14316,29.61,27.073,804.1,2.17
Gare de Clamecy,47.46649,3.52065,Gare de Coulanges-Sur-Yonne,47.52737,3.54715,9.92,7.064,209.8,0.57
Gare de Coulanges-Sur-Yonne,47.52737,3.54715,Gare de Châtel-Censoir,47.53774,3.63534,10.28,6.728,199.8,0.54
Gare de Châtel-Censoir,47.53774,3.63534,Gare de Mailly-la-Ville,47.60436,3.67508,11.32,7.994,237.4,0.64
Gare de Mailly-la-Ville,47.60436,3.67508,Gare de Cravant-Bazarnes,47.67858,3.68147,10.24,8.276,245.8,0.66
Gare de Commercy,48.76587,5.58888,Gare de Bar-le-Duc,48.77363,5.16702,26.12,30.963,919.6,2.48
Gare de Simiane,43.43472,5.42601,Gare de Gardanne,43.45601,5.46332,5.37,3.835,113.9,0.31
Gare de Cagnes-sur-Mer,43.65769,7.14816,Gare de Villeneuve-Loubet-Plage,43.62998,7.13432,3.65,3.28,97.4,0.26
Gare de Villeneuve-Loubet-Plage,43.62998,7.13432,Gare de Biot,43.6109,7.12624,2.5,2.221,66.0,0.18
Gare de Biot,43.6109,7.12624,Gare de Antibes,43.58579,7.11952,3.08,2.847,84.6,0.23
Gare de Juan-les-Pins,43.57091,7.11151,Gare de Golfe-Juan-Vallauris,43.56652,7.07363,3.15,3.094,91.9,0.25
Gare de Golfe-Juan-Vallauris,43.56652,7.07363,Gare de Cannes,43.55391,7.01973,5.19,4.569,135.7,0.37
Gare de St-Aignan-Noyers,47.28673,1.38366,Gare de Selles-sur-Cher,47.2816,1.54614,9.34,12.283,364.8,0.98
Gare de Selles-sur-Cher,47.2816,1.54614,Gare de Gièvres,47.27873,1.66781,7.72,9.194,273.1,0.74
Gare de Luzenac-Garanou,42.76444,1.75315,Gare de Ax-les-Thermes,42.72481,1.83332,9.27,7.9,234.6,0.63
Gare de Royan,45.62551,-1.0172,Gare de Saujon,45.66705,-0.93058,10.79,8.174,242.8,0.65
Gare de Saujon,45.66705,-0.93058,Gare de Saintes,45.74784,-0.61758,23.08,25.94,770.4,2.08
