point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Sélestat,48.25964,7.4421,Sélestat-R-S-Marie-/-Ms,48.26418,7.43974,3.06,0.535,5.8,0.05
Sélestat-R-S-Marie-/-Ms,48.26418,7.43974,Châtenois-(Gare),48.27613,7.40168,6.61,3.118,33.7,0.28
Châtenois-(Gare),48.27613,7.40168,Châtenois-V.-Villé-Gare,48.28307,7.38195,3.22,1.653,17.9,0.15
Lièpvre-(Centre),48.27085,7.28069,Liepvre-(-R.-GUTH-),48.27007,7.26945,2.0,0.837,9.0,0.08
Liepvre-(-R.-GUTH-),48.27007,7.26945,Liepvre-(-Musloch-),48.26765,7.24857,2.0,1.57,17.0,0.14
Vézelise Beauregard,48.489,6.09334,Ceintrey Eglise,48.52446,6.16399,7.0,6.537,70.6,0.59
Ceintrey Eglise,48.52446,6.16399,Gare de Nancy-Ville,48.68978,6.17427,27.5,18.418,198.9,1.66
Gare de La Souterraine,46.23975,1.49223,Gare de Châteauroux,46.80982,1.69946,36.43,65.413,706.5,5.89
Gare de Rives,45.3576,5.4919,Gare de Le Grand-Lemps,45.39668,5.42306,15.69,6.921,74.7,0.62
Gare de Le Grand-Lemps,45.39668,5.42306,Gare de Chabons,45.4384,5.4281,9.38,4.661,50.3,0.42
Gare de Chabons,45.4384,5.4281,Gare de Virieu-sur-Bourbre,45.48477,5.47545,12.0,6.349,68.6,0.57
Gare de Pont-de-Dore,45.84282,3.49043,Gare de Lezoux,45.82114,3.38577,14.25,8.469,91.5,0.76
Gare de Vif,45.04765,5.68541,Gare de St-Georges-de-Commiers,45.04372,5.70118,3.31,1.315,14.2,0.12
Gare de St-Georges-de-Commiers,45.04372,5.70118,Gare de Jarrie-Vizille,45.08541,5.74226,8.92,5.654,61.1,0.51
Gare de Jarrie-Vizille,45.08541,5.74226,Pont-de-Claix TAG Mair.,45.12574,5.69819,8.08,5.67,61.2,0.51
Pont-de-Claix TAG Mair.,45.12574,5.69819,Grenoble-Gare-Routière,45.19267,5.71436,22.38,7.558,81.6,0.68
Col-De-Puberg,48.91702,7.31839,Frohmuhl- (Lavoir),48.9079,7.28114,5.0,2.908,31.4,0.26
Gare de Amiens,49.89053,2.3081,Gare de St-Roch (Somme),49.89342,2.28372,10.0,1.778,19.2,0.16
Gare de Poix-de-Picardie,49.7778,1.98983,Gare de Abancourt,49.68566,1.77418,30.71,18.6,200.9,1.67
Corcieux Le Conti,48.17076,6.88287,La Houssière Vanémont Centre,48.2004,6.87847,5.08,3.316,35.8,0.3
La Houssière Vanémont Centre,48.2004,6.87847,Biffontaine Mairie,48.21131,6.80547,6.0,5.55,59.9,0.5
Gare de Sallanches-Comb.Megève,45.93567,6.63647,Gare de Cluses (Hte-Savoie),46.06142,6.58268,22.83,14.603,157.7,1.31
Gare de Troyes,48.29607,4.06528,Troyes-Chambre-Commerce,48.29111,4.0711,5.0,0.7,7.6,0.06
Troyes-Chambre-Commerce,48.29111,4.0711,Troyes-Lombards,48.27805,4.06582,5.0,1.505,16.3,0.14
Auxon Eglise,48.10305,3.91833,Ervy-le-Châtel-Gare,48.04532,3.92289,7.0,6.435,69.5,0.58
Ervy-le-Châtel-Gare,48.04532,3.92289,Ervy-le-Châtel-Halle,48.04176,3.9113,2.0,0.949,10.2,0.09
Ervy-le-Châtel-Halle,48.04176,3.9113,Montfey,48.06695,3.87555,7.0,3.865,41.7,0.35
Montfey,48.06695,3.87555,Villeneuve-au-Chemin,48.09,3.85138,4.0,3.133,33.8,0.28
Villeneuve-au-Chemin,48.09,3.85138,Coursan-en-Othe,48.07972,3.83027,2.0,1.943,21.0,0.17
Coursan-en-Othe,48.07972,3.83027,Neuvy-Sautour-RN,48.04277,3.79276,5.5,4.97,53.7,0.45
Gare de Lozanne,45.85414,4.68146,Gare de Chatillon-d'Azergues,45.87525,4.6452,6.67,3.664,39.6,0.33
Gare de Chatillon-d'Azergues,45.87525,4.6452,Gare de Chessy (Rhône),45.88554,4.6225,2.5,2.099,22.7,0.19
Ternand,45.94616,4.53659,Letra-Gabodière,45.96143,4.51648,3.12,2.305,24.9,0.21
Chambost-Allières.,46.01869,4.49913,Grandris-Folletière.,46.03595,4.49333,2.12,1.973,21.3,0.18
Grandris-Folletière.,46.03595,4.49333,Lamure-Collège,46.05207,4.49288,2.0,1.795,19.4,0.16
Lamure-Collège,46.05207,4.49288,Gare de Lamure-sur-Azergues,46.0611,4.49212,2.0,1.007,10.9,0.09
Gare de Jarnac-Charente,45.67129,-0.17792,Gare de Cognac,45.68445,-0.32616,15.0,11.622,125.5,1.05
Gare de St-Etienne-la-Terrasse,45.46485,4.37953,Gare de Andrézieux,45.52176,4.25518,12.82,11.588,125.2,1.04
Gare de Andrézieux,45.52176,4.25518,Gare de Bonson,45.52217,4.21622,7.18,3.039,32.8,0.27
Gare de St-Pierre-d'Albigny,45.55737,6.15636,Gare de Montmélian,45.50307,6.04312,15.75,10.701,115.6,0.96
Gare de Carcassonne,43.21771,2.35188,Gare de Toulouse-Matabiau,43.61146,1.45356,46.61,84.838,916.3,7.64
Gare de Narbonne,43.19103,3.00596,Gare de Béziers,43.33623,3.21922,13.17,23.666,255.6,2.13
Gare de Béziers,43.33623,3.21922,Gare de Montpellier-Saint-Roch,43.60583,3.88236,36.0,61.405,663.2,5.53
Gerbéviller (Rue Gambet,48.50022,6.51238,Gerbeviller-Foch,48.50222,6.5103,1.93,0.27,2.9,0.02
St-Pierremont,48.4375,6.57638,Roville-aux-Chênes Ctre,48.38525,6.60266,5.14,6.132,66.2,0.55
Herbitzheim MSP,49.0129,7.08151,Herbitzheim Mairie,49.01707,7.08295,1.0,0.476,5.1,0.04
Herbitzheim Mairie,49.01707,7.08295,Gare de Kalhausen,49.035,7.12548,7.0,3.691,39.9,0.33
Gare de Kalhausen,49.035,7.12548,Wittring-Pont,49.05335,7.15088,3.0,2.758,29.8,0.25
Wittring-Pont,49.05335,7.15088,Zetting-Salle-des-Fêtes,49.07943,7.13546,6.08,3.113,33.6,0.28
Zetting-Salle-des-Fêtes,49.07943,7.13546,Sarreinsming-Pont,49.08639,7.10938,1.92,2.053,22.2,0.18
Sarreinsming-Pont,49.08639,7.10938,Remelfing-Centre,49.0917,7.09252,2.0,1.364,14.7,0.12
Remelfing-Centre,49.0917,7.09252,Gare de Sarreguemines,49.1075,7.06887,5.0,2.463,26.6,0.22
Gare de Sarrebourg,48.73794,7.05278,Sarrebourg (Place Math),48.73688,7.05719,3.64,0.345,3.7,0.03
Sarrebourg-Méphisto,48.74979,7.06746,Sarraltroff-Gare-SNCF,48.77007,7.06577,2.9,2.261,24.4,0.2
Fénétrange (Gendarm.),48.84429,7.01986,Fénétrange-Val-Fleuri,48.8478,7.01917,1.0,0.394,4.3,0.04
Fénétrange-Val-Fleuri,48.8478,7.01917,Niederstinzel-Princi,48.86324,7.0315,3.0,1.942,21.0,0.17
Niederstinzel-Princi,48.86324,7.0315,Diedendorf-Rond-Point,48.8769,7.05431,3.0,2.259,24.4,0.2
Diedendorf-Rond-Point,48.8769,7.05431,Wolfskirchen-Moulin,48.87932,7.07176,2.0,1.306,14.1,0.12
Wolfskirchen-Moulin,48.87932,7.07176,Bischtroff-Mairie,48.90112,7.07184,4.0,2.427,26.2,0.22
Bischtroff-Mairie,48.90112,7.07184,Sarrewerden Lotissement,48.92078,7.08603,4.83,2.422,26.2,0.22
Sarrewerden Lotissement,48.92078,7.08603,Sarrewerden-Eglise,48.92382,7.0821,1.0,0.444,4.8,0.04
Sarrewerden-Eglise,48.92382,7.0821,Sarre-Union,48.9366,7.08542,4.0,1.443,15.6,0.13
Niedermodern/Uberach,48.84653,7.62787,La-Walck-Monument,48.84837,7.61224,2.94,1.163,12.6,0.1
La-Walck-Monument,48.84837,7.61224,Pfaffenhoffen-(Mairie).,48.8449,7.61081,2.12,0.4,4.3,0.04
Saverne-(Lycée-Verne),48.73513,7.37441,Saverne-(Pl.-Dragons),48.73978,7.36179,5.0,1.061,11.5,0.1
Azay-Rivieres,47.20921,0.94616,Azay-sur-Indre-Le Parad,47.20944,0.94611,1.0,0.026,0.3,0.0
Azay-sur-Indre-Le Parad,47.20944,0.94611,Reignac-Jonquilles,47.22573,0.92072,1.5,2.641,28.5,0.24
Reignac-Jonquilles,47.22573,0.92072,Reignac-Bourg-Du-Fau,47.22718,0.9154,1.0,0.433,4.7,0.04
Truyes-Chapelle,47.27528,0.83055,Esvres-St-Malo,47.2978,0.80107,4.21,3.353,36.2,0.3
Gare de Valence-TGV,44.99137,4.97894,Grenoble-Gare-Routière,45.19267,5.71436,63.0,61.986,669.4,5.58
Gare de St-André-le-Gaz,45.54451,5.52429,Gare de La Tour-du-Pin,45.56023,5.44955,14.82,6.083,65.7,0.55
Gare de La Tour-du-Pin,45.56023,5.44955,Gare de Bourgoin-Jallieu,45.58397,5.27334,21.21,13.983,151.0,1.26
Gare de Virieu-sur-Bourbre,45.48477,5.47545,Gare de St-André-le-Gaz,45.54451,5.52429,18.75,7.664,82.8,0.69
Cloyes-Médiathèque,47.99519,1.23578,Gare de Cloyes,47.99217,1.24312,2.0,0.642,6.9,0.06
Gare de Cloyes,47.99217,1.24312,Gare de Châteaudun,48.07335,1.3381,16.0,11.474,123.9,1.03
Châteauroux-Médiathèque,46.8088,1.69086,Châteauroux Gare Rout.,46.80965,1.69869,6.5,0.604,6.5,0.05
Romorantin-Lycée-de-F,47.36936,1.73913,Romorantin-BA-G.R.,47.35943,1.74443,6.43,1.175,12.7,0.11
Issoudun-Place-de-la-G.,46.94861,1.98582,Issoudun-Jardin,46.94969,1.99468,4.07,0.684,7.4,0.06
Issoudun-Jardin,46.94969,1.99468,Avail-Halte,46.96819,2.04518,5.0,4.355,47.0,0.39
Avail-Halte,46.96819,2.04518,Avail,46.96407,2.05851,1.42,1.112,12.0,0.1
Avail,46.96407,2.05851,Charost-café-du-Centre,46.99277,2.11583,5.75,5.4,58.3,0.49
Charost-café-du-Centre,46.99277,2.11583,Charost-Pont,46.99248,2.12356,2.0,0.588,6.4,0.05
Charost-Pont,46.99248,2.12356,Civray-Grand-Entrevin,46.99437,2.11727,2.5,0.522,5.6,0.05
Civray-Grand-Entrevin,46.99437,2.11727,St-Florent-sur-Cher-M.,46.99268,2.24538,12.08,9.729,105.1,0.88
St-Florent-sur-Cher-M.,46.99268,2.24538,Gare de St-Florent-sur-Cher,46.99212,2.25215,2.67,0.518,5.6,0.05
Bourges-Aéroport,47.0623,2.36581,Bourges-Place-Nation,47.08419,2.39128,7.0,3.109,33.6,0.28
Bourges-Place-Nation,47.08419,2.39128,Bourges-Gare-Routière,47.08281,2.38689,3.08,0.367,4.0,0.03
Gare de St-Roch (Somme),49.89342,2.28372,Gare de Poix-de-Picardie,49.7778,1.98983,32.0,24.716,266.9,2.22
Gare de Serqueux,49.63155,1.53934,Gare de Montérolier-Buchy,49.60313,1.33471,24.27,15.093,163.0,1.36
Gare de Arches,48.11996,6.52801,Gare de Epinal,48.17808,6.44156,18.19,9.115,98.4,0.82
Gare de Rombas-Clouange,49.25604,6.09925,Gare de Moyeuvre-Grande,49.24701,6.0432,8.82,4.195,45.3,0.38
Gare de Moyeuvre-Grande,49.24701,6.0432,Gare de Joeuf,49.22508,6.01791,9.18,3.056,33.0,0.28
Gare de Joeuf,49.22508,6.01791,Gare de Homécourt,49.21836,5.99952,7.82,1.532,16.5,0.14
