point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
NANTES-ATLANTIQUE,47.15972,-1.61,PARIS-ORLY,48.71972,2.37972,76.31,344.429,83179.6,41.33
PARIS-ORLY,48.71972,2.37972,LYON-SAINT-EXUPERY,45.72972,5.08,64.51,390.392,94279.7,46.85
PARIS-ORLY,48.71972,2.37972,CLERMONT-FERRAND-CLERMONT-FERRAND/AUVERGNE,45.78972,3.16,58.44,331.439,80042.5,39.77
PARIS-ORLY,48.71972,2.37972,QUIMPER-PLUGUFFAN,47.97972,-4.16972,80.83,491.315,118652.6,58.96
PARIS-ORLY,48.71972,2.37972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,95.52,907.817,219237.8,108.94
PARIS-ORLY,48.71972,2.37972,BASTIA-PORETTA,42.54972,9.48,96.09,880.762,212704.0,105.69
METZ-NANCY-LORRAINE,48.97972,6.25,MARSEILLE-PROVENCE,43.43972,5.20972,80.0,621.864,150180.2,74.62
PARIS-ORLY,48.71972,2.37972,FIGARI-SUD-CORSE,41.5,9.09972,103.53,960.713,232012.2,115.29
ROUEN-VALLEE-DE-SEINE,49.39,1.17972,BASTIA-PORETTA,42.54972,9.48,110.0,994.867,240260.4,119.38
FIGARI-SUD-CORSE,41.5,9.09972,ROUEN-VALLEE-DE-SEINE,49.39,1.17972,110.0,1072.944,259116.0,128.75
PAU-PYRENEES,43.38,-0.42,BREST-BRETAGNE,48.45,-4.41972,100.0,643.577,155423.8,77.23
BIARRITZ-BAYONNE-ANGLET,43.46972,-1.53,MARSEILLE-PROVENCE,43.43972,5.20972,67.5,544.479,131491.7,65.34
BIARRITZ-BAYONNE-ANGLET,43.46972,-1.53,NICE-COTE-D'AZUR,43.67,7.20972,84.58,704.912,170236.2,84.59
BREST-BRETAGNE,48.45,-4.41972,MARSEILLE-PROVENCE,43.43972,5.20972,97.5,929.764,224538.0,111.57
POITIERS-BIARD,46.59,0.31,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,135.0,852.68,205922.2,102.32
BRIVE-VALLEE-DE-DORDOGNE-,45.04111,1.48306,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,85.0,685.168,165468.1,82.22
BORDEAUX-MERIGNAC,44.82972,-0.71972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,90.0,834.94,201638.0,100.19
RENNES-ST-JACQUES,48.07,-1.72972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,115.0,1073.38,259221.3,128.81
LILLE-LESQUIN,50.56,3.08972,AJACCIO-NAPOLEON-BONAPARTE,41.92,8.8,115.0,1056.719,255197.6,126.81
