point_1,point_1,point_1,point_2,point_2,point_2,duree (min),distance (km),empreinte carbone (gCO2),prix (euros)
nom,latitude,longitude,nom,latitude,longitude,,,,
Gare de Bardonecchia-Stazione,45.07643,6.70964,Gare de Modane,45.19356,6.65918,18.33,13.617,43.6,1.5
Gare de Bardonecchia-Stazione,45.07643,6.70964,Gare de Oulx-Cesana-Clav-Sestri,45.03879,6.83154,10.0,10.453,33.5,1.15
Gare de Bayeux,49.26944,-0.69771,Gare de Caen,49.17654,-0.34827,20.0,27.408,87.7,3.01
Gare de Bayeux,49.26944,-0.69771,Gare de Lison,49.22705,-1.05028,18.0,26.031,83.3,2.86
Gare de Bayonne,43.49676,-1.4704,Gare de Biarritz,43.45938,-1.54601,12.5,7.385,23.6,0.81
Gare de Bayonne,43.49676,-1.4704,Gare de Dax,43.72067,-1.05032,33.5,42.01,134.4,4.62
Gare de Beaune,47.02304,4.84872,Gare de Dijon-Ville,47.3234,5.02728,22.5,36.034,115.3,3.96
Gare de Belfort-Montbéliard-TGV,47.58659,6.89903,Gare de Besançon-Franche-Comté,47.30747,5.95476,22.8,77.518,248.1,8.53
Gare de Belfort-Montbéliard-TGV,47.58659,6.89903,Gare de Mulhouse,47.7418,7.34285,25.5,37.462,119.9,4.12
Gare de Bellegarde-s-V. Gare,46.1097,5.82365,Gare de Annemasse,46.19923,6.23639,45.75,33.325,106.6,3.67
Gare de Bellegarde-s-V. Gare,46.1097,5.82365,Gare de Mâcon-Loché-TGV,46.2829,4.77895,76.0,82.708,264.7,9.1
Gare de Bellegarde-s-V. Gare,46.1097,5.82365,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,194.67,399.711,1279.1,43.97
Gare de Bernay,49.08699,0.59573,Gare de Evreux - Normandie,49.01856,1.14989,27.0,41.107,131.5,4.52
Gare de Bernay,49.08699,0.59573,Gare de Lisieux,49.13725,0.23168,16.0,27.089,86.7,2.98
Gare de Besançon-Franche-Comté,47.30747,5.95476,Gare de Belfort-Montbéliard-TGV,47.58659,6.89903,25.0,77.518,248.1,8.53
Gare de Besançon-Franche-Comté,47.30747,5.95476,Gare de Besançon-Viotte,47.24704,6.02191,14.5,8.418,26.9,0.93
Gare de Besançon-Franche-Comté,47.30747,5.95476,Gare de Chalon-sur-Saône,46.78157,4.84349,58.5,102.547,328.2,11.28
Gare de Besançon-Franche-Comté,47.30747,5.95476,Gare de Dijon-Ville,47.3234,5.02728,30.33,69.963,223.9,7.7
Gare de Besançon-Viotte,47.24704,6.02191,Gare de Besançon-Franche-Comté,47.30747,5.95476,12.5,8.418,26.9,0.93
Gare de Besançon-Viotte,47.24704,6.02191,Gare de Dole-Ville,47.09616,5.48804,23.2,43.718,139.9,4.81
Gare de Biarritz,43.45938,-1.54601,Gare de Bayonne,43.49676,-1.4704,12.67,7.385,23.6,0.81
Gare de Biarritz,43.45938,-1.54601,Gare de St-Jean-de-Luz-Ciboure,43.38585,-1.66116,16.0,12.387,39.6,1.36
Gare de Biganos-Facture,44.63748,-0.96602,Gare de Arcachon,44.65892,-1.16537,19.5,15.954,51.1,1.75
Gare de Biganos-Facture,44.63748,-0.96602,Gare de Bordeaux-St-Jean,44.82654,-0.55619,25.67,38.612,123.6,4.25
Gare de Biganos-Facture,44.63748,-0.96602,Gare de La Teste,44.63696,-1.14298,14.5,14.006,44.8,1.54
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Agen,44.20797,0.6209,72.6,115.97,371.1,12.76
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Angoulême,45.65393,0.16453,37.43,107.962,345.5,11.88
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Biganos-Facture,44.63748,-0.96602,28.2,38.612,123.6,4.25
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Dax,43.72067,-1.05032,77.83,129.147,413.3,14.21
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Libourne,44.91588,-0.23637,19.33,27.099,86.7,2.98
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Massy-TGV,48.72603,2.26157,122.6,483.859,1548.3,53.22
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Montauban-Ville-Bourbon,44.01464,1.34197,107.0,175.762,562.4,19.33
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Paris-Montparnasse 1-2,48.84063,2.31989,133.15,497.148,1590.9,54.69
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Poitiers,46.58218,0.33308,63.0,207.134,662.8,22.78
Gare de Bordeaux-St-Jean,44.82654,-0.55619,Gare de Toulouse-Matabiau,43.61146,1.45356,130.0,209.591,670.7,23.06
Gare de Boulogne Ville,50.71559,1.60981,Gare de Calais Fréthun,50.90126,1.81103,23.5,25.032,80.1,2.75
Gare de Boulogne Ville,50.71559,1.60981,Gare de Etaples Le Touquet,50.51672,1.6425,19.5,22.24,71.2,2.45
Gare de Bourg-St-Maurice,45.61852,6.77148,Gare de Aime-la-Plagne,45.55437,6.64888,12.5,11.916,38.1,1.31
Gare de Bourg-St-Maurice,45.61852,6.77148,Gare de Landry,45.57421,6.73387,12.33,5.733,18.3,0.63
Gare de Brest,48.38808,-4.47892,Gare de Landerneau,48.45383,-4.25621,12.0,17.993,57.6,1.98
Gare de Brest,48.38808,-4.47892,Gare de Morlaix,48.57798,-3.83276,32.83,52.112,166.8,5.73
Gare de Brest,48.38808,-4.47892,Gare de St-Brieuc,48.50722,-2.76547,68.75,127.107,406.7,13.98
Gare de Bruxelles-M./Brussel-Z.,50.83528,4.33583,Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,77.33,239.679,767.0,26.36
Gare de Bruxelles-M./Brussel-Z.,50.83528,4.33583,Gare de Lille Europe,50.63885,3.07575,37.0,91.354,292.3,10.05
Gare de Béthune,50.52143,2.6404,Gare de Hazebrouck,50.72504,2.54153,24.5,23.698,75.8,2.61
Gare de Béthune,50.52143,2.6404,Gare de Lens,50.42677,2.8282,14.83,16.959,54.3,1.87
Gare de Béziers,43.33623,3.21922,Gare de Agde,43.31757,3.46602,13.0,20.077,64.2,2.21
Gare de Béziers,43.33623,3.21922,Gare de Narbonne,43.19103,3.00596,17.5,23.647,75.7,2.6
Gare de Béziers,43.33623,3.21922,Gare de Sète,43.41281,3.6964,26.0,39.509,126.4,4.35
Gare de Caen,49.17654,-0.34827,Gare de Bayeux,49.26944,-0.69771,18.0,27.408,87.7,3.01
Gare de Caen,49.17654,-0.34827,Gare de Lisieux,49.13725,0.23168,29.0,42.413,135.7,4.67
Gare de Calais Fréthun,50.90126,1.81103,Gare de Boulogne Ville,50.71559,1.60981,34.0,25.032,80.1,2.75
Gare de Calais Fréthun,50.90126,1.81103,Gare de Calais Ville,50.95346,1.85075,10.5,6.439,20.6,0.71
Gare de Calais Fréthun,50.90126,1.81103,Gare de Lille Europe,50.63885,3.07575,40.2,93.632,299.6,10.3
Gare de Cannes,43.55391,7.01973,Gare de Antibes,43.58579,7.11952,12.0,8.789,28.1,0.97
Gare de Cannes,43.55391,7.01973,Gare de Les Arcs-Draguignan,43.45573,6.48246,41.5,44.699,143.0,4.92
Gare de Cannes,43.55391,7.01973,Gare de St-Raphaël-Valescure,43.42361,6.76901,27.0,24.888,79.6,2.74
Gare de Carcassonne,43.21771,2.35188,Gare de Narbonne,43.19103,3.00596,30.5,53.113,170.0,5.84
Gare de Carcassonne,43.21771,2.35188,Gare de Toulouse-Matabiau,43.61146,1.45356,47.4,84.772,271.3,9.32
Gare de Carentan,49.3018,-1.2421,Gare de Lison,49.22705,-1.05028,13.0,16.216,51.9,1.78
Gare de Carentan,49.3018,-1.2421,Gare de Valognes,49.50539,-1.48032,16.0,28.462,91.1,3.13
Gare de Chalon-sur-Saône,46.78157,4.84349,Gare de Beaune,47.02304,4.84872,22.5,26.862,86.0,2.95
Gare de Chalon-sur-Saône,46.78157,4.84349,Gare de Besançon-Franche-Comté,47.30747,5.95476,57.0,102.547,328.2,11.28
Gare de Chalon-sur-Saône,46.78157,4.84349,Gare de Lyon-Part-Dieu,45.76059,4.85944,62.5,113.571,363.4,12.49
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Aix-les-Bains-le-Revard,45.68786,5.90935,19.14,13.02,41.7,1.43
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Albertville,45.67318,6.38324,44.47,37.8,121.0,4.16
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Annecy,45.90206,6.12182,54.83,40.02,128.1,4.4
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Grenoble,45.19146,5.71453,50.5,45.163,144.5,4.97
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Lyon-Part-Dieu,45.76059,4.85944,97.0,85.077,272.2,9.36
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Lyon-Saint-Exupery-Tgv,45.72093,5.07583,82.0,67.711,216.7,7.45
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Marne-la-Vallée-Chessy.,48.8706,2.78288,184.17,436.78,1397.7,48.05
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Massy-TGV,48.72603,2.26157,202.25,446.803,1429.8,49.15
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Modane,45.19356,6.65918,68.83,71.411,228.5,7.86
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Mâcon-Loché-TGV,46.2829,4.77895,97.43,118.574,379.4,13.04
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,187.0,452.013,1446.4,49.72
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de St-Avre-la-Chambre,45.3531,6.30288,52.4,38.481,123.1,4.23
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de St-Jean-de-Maurienne-A.,45.27784,6.3542,43.75,47.048,150.6,5.18
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de St-Pierre-des-Corps,47.38573,0.72505,265.0,446.038,1427.3,49.06
Gare de Chambéry-Chal.-les-Eaux,45.57104,5.9198,Gare de Versailles-Chantiers,48.79557,2.13546,228.0,458.664,1467.7,50.45
Gare de Champagne-Ardenne,49.21164,3.98879,Gare de Aéropt-C-de-Gaulle-TGV,49.00402,2.57159,39.0,105.745,338.4,11.63
Gare de Champagne-Ardenne,49.21164,3.98879,Gare de Châlons-en-Champagne,48.95551,4.34895,23.5,38.731,123.9,4.26
Gare de Champagne-Ardenne,49.21164,3.98879,Gare de Lorraine-TGV,48.94779,6.16978,44.25,161.58,517.1,17.77
Gare de Champagne-Ardenne,49.21164,3.98879,Gare de Marne-la-Vallée-Chessy.,48.8706,2.78288,35.88,95.759,306.4,10.53
Gare de Champagne-Ardenne,49.21164,3.98879,Gare de Metz-Ville,49.10979,6.1772,52.5,159.577,510.6,17.55
Gare de Champagne-Ardenne,49.21164,3.98879,Gare de Meuse-TGV,48.97849,5.27105,31.0,96.925,310.2,10.66
Gare de Champagne-Ardenne,49.21164,3.98879,Gare de Nancy-Ville,48.68978,6.17427,61.43,169.858,543.5,18.68
Gare de Champagne-Ardenne,49.21164,3.98879,Gare de Paris-Est,48.87657,2.35915,45.67,124.52,398.5,13.7
Gare de Charleville-Mézières,49.76742,4.72485,Gare de Rethel,49.50457,4.37028,35.8,38.822,124.2,4.27
Gare de Charleville-Mézières,49.76742,4.72485,Gare de Sedan,49.69486,4.92999,24.5,16.813,53.8,1.85
Gare de Chatellerault,46.81856,0.54922,Gare de Futuroscope,46.66985,0.3772,14.0,21.107,67.5,2.32
Gare de Chatellerault,46.81856,0.54922,Gare de Paris-Montparnasse 1-2,48.84063,2.31989,81.75,260.882,834.8,28.7
Gare de Chatellerault,46.81856,0.54922,Gare de Poitiers,46.58218,0.33308,19.0,31.034,99.3,3.41
Gare de Chatellerault,46.81856,0.54922,Gare de St-Pierre-des-Corps,47.38573,0.72505,33.5,64.475,206.3,7.09
Gare de Cherbourg,49.6335,-1.62147,Gare de Valognes,49.50539,-1.48032,20.0,17.514,56.0,1.93
Gare de Châlons-en-Champagne,48.95551,4.34895,Gare de Champagne-Ardenne,49.21164,3.98879,21.33,38.731,123.9,4.26
Gare de Châlons-en-Champagne,48.95551,4.34895,Gare de Vitry-le-François,48.71773,4.58723,22.5,31.683,101.4,3.49
Gare de Cluses (Hte-Savoie),46.06142,6.58268,Gare de Annemasse,46.19923,6.23639,54.88,30.782,98.5,3.39
Gare de Cluses (Hte-Savoie),46.06142,6.58268,Gare de Massy-TGV,48.72603,2.26157,327.0,439.995,1408.0,48.4
Gare de Cluses (Hte-Savoie),46.06142,6.58268,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,307.67,442.685,1416.6,48.7
Gare de Cluses (Hte-Savoie),46.06142,6.58268,Gare de Sallanches-Comb.Megève,45.93567,6.63647,19.12,14.592,46.7,1.61
Gare de Colmar,48.07315,7.34708,Gare de Mulhouse,47.7418,7.34285,26.5,36.858,117.9,4.05
Gare de Colmar,48.07315,7.34708,Gare de Strasbourg,48.58517,7.73397,29.62,63.734,203.9,7.01
Gare de Colmar,48.07315,7.34708,Gare de Sélestat,48.25964,7.4421,10.5,21.908,70.1,2.41
Gare de Creusot - TGV (le),46.76531,4.49939,Gare de Lyon-Part-Dieu,45.76059,4.85944,41.6,115.134,368.4,12.66
Gare de Creusot - TGV (le),46.76531,4.49939,Gare de Marne-la-Vallée-Chessy.,48.8706,2.78288,78.0,266.952,854.2,29.36
Gare de Creusot - TGV (le),46.76531,4.49939,Gare de Mâcon-Loché-TGV,46.2829,4.77895,21.0,57.767,184.9,6.35
Gare de Creusot - TGV (le),46.76531,4.49939,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,87.71,280.566,897.8,30.86
Gare de Croix Wasquehal,50.67855,3.13809,Gare de Lille Flandres,50.6362,3.07102,10.5,6.675,21.4,0.73
Gare de Croix Wasquehal,50.67855,3.13809,Gare de Roubaix,50.69535,3.16302,5.0,2.565,8.2,0.28
Gare de Dax,43.72067,-1.05032,Gare de Bayonne,43.49676,-1.4704,34.2,42.01,134.4,4.62
Gare de Dax,43.72067,-1.05032,Gare de Bordeaux-St-Jean,44.82654,-0.55619,77.5,129.147,413.3,14.21
Gare de Dax,43.72067,-1.05032,Gare de Orthez,43.4841,-0.76762,33.5,34.798,111.4,3.83
Gare de Dax,43.72067,-1.05032,Gare de Pau,43.29167,-0.36965,52.33,72.749,232.8,8.0
Gare de Dijon-Ville,47.3234,5.02728,Gare de Besançon-Franche-Comté,47.30747,5.95476,34.55,69.963,223.9,7.7
Gare de Dijon-Ville,47.3234,5.02728,Gare de Dole-Ville,47.09616,5.48804,27.33,43.023,137.7,4.73
Gare de Dijon-Ville,47.3234,5.02728,Gare de Lyon-Part-Dieu,45.76059,4.85944,109.0,174.306,557.8,19.17
Gare de Dijon-Ville,47.3234,5.02728,Gare de Montbard,47.61872,4.33615,40.44,61.475,196.7,6.76
Gare de Dijon-Ville,47.3234,5.02728,Gare de Mâcon-Ville,46.30266,4.82515,69.33,114.575,366.6,12.6
Gare de Dijon-Ville,47.3234,5.02728,Gare de Paris-Gare-de-Lyon,48.84492,2.37346,102.33,259.831,831.5,28.58
Gare de Dol,48.54298,-1.75047,Gare de Rennes,48.10352,-1.67233,33.5,49.222,157.5,5.41
Gare de Dol,48.54298,-1.75047,Gare de St-Malo,48.64665,-2.00462,17.0,21.967,70.3,2.42
Gare de Dole-Ville,47.09616,5.48804,Gare de Besançon-Viotte,47.24704,6.02191,26.5,43.718,139.9,4.81
Gare de Dole-Ville,47.09616,5.48804,Gare de Dijon-Ville,47.3234,5.02728,26.5,43.023,137.7,4.73
Gare de Douai,50.37168,3.08996,Gare de Arras,50.28682,2.78113,21.7,23.874,76.4,2.63
Gare de Douai,50.37168,3.08996,Gare de Lille Flandres,50.6362,3.07102,26.0,29.454,94.3,3.24
Gare de Douai,50.37168,3.08996,Gare de Valenciennes,50.36318,3.51713,34.5,30.322,97.0,3.34
Gare de Dunkerque,51.03044,2.36894,Gare de Hazebrouck,50.72504,2.54153,21.0,36.064,115.4,3.97
Gare de Dunkerque,51.03044,2.36894,Gare de Lille Europe,50.63885,3.07575,31.0,66.049,211.4,7.27
Gare de Emmendingen,48.11931,7.84792,Gare de Freiburg-Breisgau,47.99779,7.84159,14.0,13.525,43.3,1.49
Gare de Emmendingen,48.11931,7.84792,Gare de Lahr,48.34061,7.83531,17.0,24.633,78.8,2.71
Gare de Emmendingen,48.11931,7.84792,Gare de Offenburg,48.47647,7.94672,24.0,40.393,129.3,4.44
Gare de Epinal,48.17808,6.44156,Gare de Nancy-Ville,48.68978,6.17427,46.0,60.238,192.8,6.63
Gare de Epinal,48.17808,6.44156,Gare de Remiremont,48.01637,6.59904,27.0,21.457,68.7,2.36
Gare de Etaples Le Touquet,50.51672,1.6425,Gare de Boulogne Ville,50.71559,1.60981,19.0,22.24,71.2,2.45
Gare de Etaples Le Touquet,50.51672,1.6425,Gare de Rang du Fl. Verton Ber.,50.41581,1.64808,11.0,11.231,35.9,1.24
Gare de Evian-les-Bains,46.39789,6.57747,Gare de Thonon-les-Bains,46.36898,6.48156,12.5,8.031,25.7,0.88
Gare de Evreux - Normandie,49.01856,1.14989,Gare de Bernay,49.08699,0.59573,26.0,41.107,131.5,4.52
