depart,depart,depart,arrivee,arrivee,arrivee,duree (min),distance (km)
nom,latitude,longitude,nom,latitude,longitude,,
Orléans (Libération),47.91953,1.90349,Tours (Parking les Peupliers),47.38338,0.70235,90,121.8949
Tours (Parking les Peupliers),47.38338,0.70235,Poitiers (Central bus station),46.58451,0.33563,85,103.0882
Poitiers (Central bus station),46.58451,0.33563,Saintes,45.75549,-0.65154,130,138.2764
Saintes,45.75549,-0.65154,Poitiers (Central bus station),46.58451,0.33563,110,137.9482
Poitiers (Central bus station),46.58451,0.33563,Tours (Parking les Peupliers),47.38338,0.70235,85,103.5468
Tours (Parking les Peupliers),47.38338,0.70235,Orléans (Libération),47.91953,1.90349,90,121.4556
Orléans (Libération),47.91953,1.90349,Versailles (IC),48.80042,2.07517,90,115.147
Versailles (IC),48.80042,2.07517,Paris (Bercy Seine),48.83532,2.38052,30,28.9006
Paris (Bercy Seine),48.83532,2.38052,Lille,50.6392,3.0762,180,223.7503
Saintes,45.75549,-0.65154,Poitiers (Central bus station),46.58451,0.33563,110,137.9482
Poitiers (Central bus station),46.58451,0.33563,Tours (Parking les Peupliers),47.38338,0.70235,85,103.5468
Tours (Parking les Peupliers),47.38338,0.70235,Orléans (Libération),47.91953,1.90349,90,121.4556
Orléans (Libération),47.91953,1.90349,Versailles (IC),48.80042,2.07517,90,115.147
Versailles (IC),48.80042,2.07517,Paris (Bercy Seine),48.83532,2.38052,30,28.9006
Paris (Bercy Seine),48.83532,2.38052,Versailles (IC),48.80042,2.07517,30,29.7037
Versailles (IC),48.80042,2.07517,Orléans (Libération),47.91953,1.90349,90,115.4688
Orléans (Libération),47.91953,1.90349,Tours (Parking les Peupliers),47.38338,0.70235,90,121.8949
Tours (Parking les Peupliers),47.38338,0.70235,Poitiers (Central bus station),46.58451,0.33563,85,103.0882
Poitiers (Central bus station),46.58451,0.33563,Saintes,45.75549,-0.65154,130,138.2764
Lyon Perrache (Central Bus Station),45.74875,4.82602,Bellegarde (Péage),46.11511,5.7949,90,110.4847
Bellegarde (Péage),46.11511,5.7949,Lyon Perrache (Central Bus Station),45.74875,4.82602,85,110.2417
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,30,16.5344
Paris (Orly Airport),48.73156,2.37358,Bordeaux Saint-Jean,44.82982,-0.55521,400,575.7751
Bordeaux Saint-Jean,44.82982,-0.55521,Bayonne (Quai de Lesseps),43.49639,-1.47402,140,189.3088
Bayonne (Quai de Lesseps),43.49639,-1.47402,Biarritz (Centre),43.47716,-1.55287,20,8.618
Biarritz (Centre),43.47716,-1.55287,Bayonne (Quai de Lesseps),43.49639,-1.47402,15,8.0387
Bayonne (Quai de Lesseps),43.49639,-1.47402,Bordeaux Saint-Jean,44.82982,-0.55521,135,189.3393
Bordeaux Saint-Jean,44.82982,-0.55521,Paris (Orly Airport),48.73156,2.37358,416,580.3904
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,35,15.0458
Paris (Bercy Seine),48.83532,2.38052,Reims Champagne Ardenne TGV,49.21516,3.99451,110,145.1097
Reims Champagne Ardenne TGV,49.21516,3.99451,Metz (central bus station),49.11016,6.18377,135,193.0424
Metz (central bus station),49.11016,6.18377,Reims Champagne Ardenne TGV,49.21516,3.99451,170,195.2279
Reims Champagne Ardenne TGV,49.21516,3.99451,Paris (Bercy Seine),48.83532,2.38052,105,143.9124
Paris (Bercy Seine),48.83532,2.38052,Paris (Orly Airport),48.73156,2.37358,35,16.5344
Paris (Orly Airport),48.73156,2.37358,Orléans (Libération),47.91953,1.90349,90,120.6895
Orléans (Libération),47.91953,1.90349,Bourges (central bus station),47.08247,2.3867,110,124.2945
Bourges (central bus station),47.08247,2.3867,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,150,191.8483
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Perpignan (Central Bus station),42.69502,2.87907,320,433.0712
Perpignan (Central Bus station),42.69502,2.87907,Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,315,5.4927
Clermont-Ferrand (bus terminal Les Salins),45.77076,3.08225,Bourges (central bus station),47.08247,2.3867,140,191.4524
Bourges (central bus station),47.08247,2.3867,Orléans (Libération),47.91953,1.90349,110,124.317
Orléans (Libération),47.91953,1.90349,Paris (Orly Airport),48.73156,2.37358,90,121.3558
Paris (Orly Airport),48.73156,2.37358,Paris (Bercy Seine),48.83532,2.38052,25,15.0458
Montpellier (Sabines),43.58393,3.86023,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,170,239.0375
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Agen (Exit A62),44.16644,0.60633,85,110.1081
Agen (Exit A62),44.16644,0.60633,Bordeaux Saint-Jean,44.82982,-0.55521,90,132.8369
Bordeaux Saint-Jean,44.82982,-0.55521,Nantes Haluchère,47.24893,-1.52081,250,358.1837
Nantes Haluchère,47.24893,-1.52081,Rennes (Central bus station),48.1039,-1.67062,95,107.4511
Rennes (Central bus station),48.1039,-1.67062,Saint-Malo (Esplanade de la Bourse),48.64613,-2.02546,65,72.3175
Saint-Malo (Esplanade de la Bourse),48.64613,-2.02546,Rennes (Central bus station),48.1039,-1.67062,70,71.986
Rennes (Central bus station),48.1039,-1.67062,Nantes Haluchère,47.24893,-1.52081,80,107.8647
Nantes Haluchère,47.24893,-1.52081,Bordeaux Saint-Jean,44.82982,-0.55521,250,356.9718
Bordeaux Saint-Jean,44.82982,-0.55521,Agen (Exit A62),44.16644,0.60633,90,134.1469
Agen (Exit A62),44.16644,0.60633,Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,85,109.8635
Toulouse (Central Bus Station Pierre Sémard),43.61252,1.45261,Montpellier (Sabines),43.58393,3.86023,165,239.4044
Bordeaux Saint-Jean,44.82982,-0.55521,Agen (Exit A62),44.16644,0.60633,95,134.1469
